sent_id,sentence,construction_type,n_words,n_variants,prev_valence,prev_arousal,prev_coverage,prev_n_matched,prev_sentence,dep_len_mean,info_status_mean,trigram_surprisal_mean,lstm_surprisal_mean,adaptive_surprisal_mean,lex_rept_surprisal_mean,pcfg_surprisal_mean,label
train-s118,राष्ट्रीय वन्य जीव उद्यान में घुमाने के लिए 30 खुली जिप्सी और 15 केंटर अनुबंधित हैं ।,SOV,17,23,-0.2174,0.4639,0.5714,8,"महाराजा ने ही यहाँ पदम तालाब, राजा बाँध और मिलक तालाब बनवाए ।",-4.6957,0.0,-0.47,-1.1035,-2.3627,-0.4345,-2.4294,1
train-s11800,जबकि सुनामी प्रभावित इलाकों में बोर्ड अप्रैल अथवा मई - जून के बीच परीक्षा आयोजित करेगा ।,SOV,17,99,0.4653,0.5935,0.2903,9,"पुरस्कार पाने वालों में बांग्ला रचनाकार मंदाक्रांता सेन, अंग्रेजी रचनाकार रणजीत होस्केटे, हिंदी लेखिका नीलाक्षी सिंह, कन्नड़ रचनाकार अब्दुल रशीद व मलयालम साहित्यकार एस. सितारा शामिल हैं ।",-1.1818,0.0,-10.3238,-5.7888,-6.6107,-10.2137,-8.3422,1
train-s11807,"अपने बचाव में सांसद महोदय दलीलें दे रहे हैं, इससे संसद की सुरक्षा व्यवस्था की पोल खुल गई हैं ।",SOV,21,5,-0.0334,0.5203,0.5882,10,जबकि सुनामी प्रभावित इलाकों में बोर्ड अप्रैल अथवा मई - जून के बीच परीक्षा आयोजित करेगा ।,-2.4,0.0,-7.861,-3.7242,-3.9718,-7.861,-1.73,1
train-s11811,इसके लिए वह सुरक्षा अधिकारियों को ही जिम्मेदार ठहराते हैं ।,SOV,11,23,0.1201,0.4885,0.5714,12,"अपने बचाव में सांसद महोदय दलीलें दे रहे हैं, इससे संसद की सुरक्षा व्यवस्था की पोल खुल गई हैं ।",0.0,0.0,-17.154,-13.6887,-12.4174,-17.881,-6.7752,1
train-s11812,"दरअसल, असली स्टीकर लगी कार (डीडीवाई - 97) के खराब होने के बाद दूसरी कार के लिए उन्होंने सुरक्षा अधिकारियों से स्टीकर मांगा था ।",SOV,28,99,0.1484,0.4586,0.2727,3,इसके लिए वह सुरक्षा अधिकारियों को ही जिम्मेदार ठहराते हैं ।,-22.2626,0.0,-7.3726,-15.4617,-12.5212,-8.1275,-6.0744,1
train-s11824,सरकार ने बृहस्पतिवार को इस बात की घोषणा की कि स्वर्णिम चतुर्भुज योजना के तहत दिल्ली - मुंबई राजमार्ग का काम पूरा हो गया है ।,SOV,26,5,0.0296,0.5237,0.3929,11,"दरअसल, असली स्टीकर लगी कार (डीडीवाई - 97) के खराब होने के बाद दूसरी कार के लिए उन्होंने सुरक्षा अधिकारियों से स्टीकर मांगा था ।",2.4,0.0,-18.8888,-16.1304,-18.8974,-18.8888,-4.2729,1
train-s11825,"शिपिंग, रोड, ट्रांसपोर्ट व हाईवे मंत्री टी. आर. बालू ने प्रश्नकाल के दौरान राज्यसभा में बताया कि दिल्ली - मुंबई राजमार्ग का काम पूरा हो गया है ।",SOV,30,5,0.0934,0.4921,0.6538,17,सरकार ने बृहस्पतिवार को इस बात की घोषणा की कि स्वर्णिम चतुर्भुज योजना के तहत दिल्ली - मुंबई राजमार्ग का काम पूरा हो गया है ।,-12.0,0.0,6.9076,-6.0194,-2.5885,6.9062,1.0604,1
train-s1183,जिसने अपने नाना को पहली बार देखा ।,SOV,8,5,-0.0109,0.5391,0.375,6,वे पैंतालीस सालों के बाद पाकिस्तान में रहने वाले अपने मामा से मिल रही थीं ।,1.2,1.2,-7.8442,-4.4042,-1.5268,-7.1702,0.2899,1
train-s11834,अमेरिकी गुप्तचरों ने पिछले दो महीने से राजधानी में डेरा डाला हुआ है ।,SOV,14,23,0.0413,0.5139,0.4333,13,"शिपिंग, रोड, ट्रांसपोर्ट व हाईवे मंत्री टी. आर. बालू ने प्रश्नकाल के दौरान राज्यसभा में बताया कि दिल्ली - मुंबई राजमार्ग का काम पूरा हो गया है ।",-4.1739,0.0,-16.148,-10.346,-13.6794,-16.142,-3.5387,1
train-s11835,इन गुप्तचरों ने मौर्य शेरटन होटल को लगभग सील कर दिया है ।,SOV,13,23,-0.0013,0.4685,0.7143,10,अमेरिकी गुप्तचरों ने पिछले दो महीने से राजधानी में डेरा डाला हुआ है ।,-4.6957,0.0,-12.8815,-12.4791,-14.4099,-11.8549,-1.2713,1
train-s11838,दिल्ली पुलिस ने नागरिकों के अलावा परीक्षा देने वाले छात्रों से कहा है कि वे अपने परीक्षा केंद्रों पर सुबह साढ़े आठ बजे ही पहुंच जाएं ।,SOV,27,5,-0.0405,0.4653,0.4615,6,इन गुप्तचरों ने मौर्य शेरटन होटल को लगभग सील कर दिया है ।,2.4,0.0,-0.1308,0.1032,0.3712,-0.081,-0.6711,1
train-s11852,बिहार के दो केंद्रीय मंत्रियों लालू यादव व रामविलास पासवान द्वारा सार्वजनिक रूप से एक दूसरे के खिलाफ आरोप - प्रत्यारोप से दुखी प्रधानमंत्री मनमोहन सिंह ने बुधवार को दोनों नेताओं से अलग अलग बातचीत की ।,SOV,37,99,-0.0702,0.5436,0.5185,14,दिल्ली पुलिस ने नागरिकों के अलावा परीक्षा देने वाले छात्रों से कहा है कि वे अपने परीक्षा केंद्रों पर सुबह साढ़े आठ बजे ही पहुंच जाएं ।,-54.0404,0.0,-19.9268,-19.5161,-18.5641,-18.1485,-5.1388,1
train-s11854,बुधवार को मनमोहन सिंह ने दोनों नेताओं को अलग अलग बुलाकर एक दूसरे के खिलाफ़ संयम बरतने व आरोप - प्रत्यारोप से बचने की सलाह दी ।,SOV,27,23,-0.0719,0.5427,0.5135,19,बिहार के दो केंद्रीय मंत्रियों लालू यादव व रामविलास पासवान द्वारा सार्वजनिक रूप से एक दूसरे के खिलाफ आरोप - प्रत्यारोप से दुखी प्रधानमंत्री मनमोहन सिंह ने बुधवार को दोनों नेताओं से अलग अलग बातचीत की ।,20.3478,0.0,-5.5911,-5.7515,-7.8948,-5.2138,-4.3036,1
train-s11855,भारतीय जनता पार्टी द्वारा बृहस्पतिवार को इस मामले को संसद में उठाने की रिपोर्टों के बाद प्रधानमंत्री ने यह काम किया ।,SOV,22,5,-0.0866,0.5226,0.4815,13,बुधवार को मनमोहन सिंह ने दोनों नेताओं को अलग अलग बुलाकर एक दूसरे के खिलाफ़ संयम बरतने व आरोप - प्रत्यारोप से बचने की सलाह दी ।,-16.8,0.0,-5.9392,-6.3064,-7.0392,-6.9649,-1.1728,1
train-s11857,संसदीय कार्य मंत्री गुलाम नबी आजाद ने भी बुधवार को संसद के केंद्रीय कक्ष में रेल मंत्री लालू यादव से मुलाकात की ।,SOV,23,99,-0.0021,0.4963,0.5909,13,भारतीय जनता पार्टी द्वारा बृहस्पतिवार को इस मामले को संसद में उठाने की रिपोर्टों के बाद प्रधानमंत्री ने यह काम किया ।,-10.7677,0.0,-26.2074,-22.1151,-21.8515,-20.0703,-4.8774,1
train-s11860,केंद्रीय मंत्रिमंडल की बैठक के बाद पत्रकारों से बातचीत करते हुए लालू प्रसाद ने कहा कि उन्होंने प्रधानमंत्री से पासवान को लेकर विरोध दर्ज कराया है ।,SOV,27,5,0.0405,0.5212,0.8261,19,संसदीय कार्य मंत्री गुलाम नबी आजाद ने भी बुधवार को संसद के केंद्रीय कक्ष में रेल मंत्री लालू यादव से मुलाकात की ।,-3.6,0.0,-5.4075,0.7495,1.7202,-5.9741,-1.4303,1
train-s11867,पीसीबी अध्यक्ष शहरयार खान ने मंगलवार को बताया कि उन्होंने दुबई में बीसीसीआई के प्रतिनिधि जगमोहन डालमिया से प्रस्तावित कार्यक्रम में एक या दो आयोजन स्थलों को बदलने का आग्रह किया है ।,SOV,33,1,-0.0047,0.5318,0.4815,13,केंद्रीय मंत्रिमंडल की बैठक के बाद पत्रकारों से बातचीत करते हुए लालू प्रसाद ने कहा कि उन्होंने प्रधानमंत्री से पासवान को लेकर विरोध दर्ज कराया है ।,-3.0,0.0,-4.4541,-5.2372,-3.3716,-4.4535,-2.0905,1
train-s11880,उन्होंने बीसीसीआई से बातचीत करने के बाद मुझे सूचित करने का आश्वासन दिया है ।,SOV,15,23,0.0318,0.5075,0.6061,20,पीसीबी अध्यक्ष शहरयार खान ने मंगलवार को बताया कि उन्होंने दुबई में बीसीसीआई के प्रतिनिधि जगमोहन डालमिया से प्रस्तावित कार्यक्रम में एक या दो आयोजन स्थलों को बदलने का आग्रह किया है ।,2.087,1.0435,-13.8297,-15.5052,-13.7062,-14.8325,-8.8112,1
train-s1189,शैला का चेहरा भी उसकी खुशी बयां कर रहा था ।,SOV,11,5,-0.0246,0.4855,0.625,5,जिसने अपने नाना को पहली बार देखा ।,-3.6,0.0,-4.6603,0.3768,-0.1515,-4.6603,-1.1323,1
train-s11898,सूत्रों के मुताबिक इस बैठक से ठीक पहले मुकेश ने अनिल व १२ निदेशकों के साथ अलग से बैठक की थी ।,SOV,22,99,0.1775,0.4898,0.6,9,उन्होंने बीसीसीआई से बातचीत करने के बाद मुझे सूचित करने का आश्वासन दिया है ।,-6.1212,0.0,-23.3525,-16.3583,-16.2083,-23.2905,-6.0182,1
train-s11899,इसमें बीएसईएस और रिलायंस दिल्ली पॉवर प्राइवेट लिमिटेड को मुकेश ने रिलायंस इंडस्ट्रीज से ५००० करोड़ रुपये निवेश / कर्ज का प्रस्ताव किया था ।,IOSV,25,99,-0.0007,0.4933,0.5909,13,सूत्रों के मुताबिक इस बैठक से ठीक पहले मुकेश ने अनिल व १२ निदेशकों के साथ अलग से बैठक की थी ।,9.202,0.9899,-12.8595,-4.7053,-5.4726,-13.6056,-4.0966,1
train-s11901,यह जानकारी म्यूनिख की एक पत्रिका ने दी है ।,DOSV,10,1,-0.0487,0.5361,0.4,10,इसमें बीएसईएस और रिलायंस दिल्ली पॉवर प्राइवेट लिमिटेड को मुकेश ने रिलायंस इंडस्ट्रीज से ५००० करोड़ रुपये निवेश / कर्ज का प्रस्ताव किया था ।,3.0,0.0,11.9387,12.6224,10.9787,11.9387,2.8714,1
train-s11902,"नया वायरस बैगल, एआई खुद को संक्रमित कंप्यूटर के ई - मेल से जोड़ लेता है और उसके ऐड्रस बुक में दर्ज सभी ई - मेल पतों पर पहुंच जाता है ।",SOV,33,5,0.0587,0.4365,0.7,7,यह जानकारी म्यूनिख की एक पत्रिका ने दी है ।,2.4,-1.2,1.2061,2.1134,4.3197,1.2061,0.8008,1
train-s11904,यह कुछ एंटी वायरस स्कैनरों समेत कंप्यूटरों के कुछ सुरक्षा उपायों को बंद करने में सक्षम है ।,SOV,18,5,0.0558,0.4989,0.6061,20,"नया वायरस बैगल, एआई खुद को संक्रमित कंप्यूटर के ई - मेल से जोड़ लेता है और उसके ऐड्रस बुक में दर्ज सभी ई - मेल पतों पर पहुंच जाता है ।",0.0,1.2,-19.945,-7.7618,-8.8641,-18.1644,-5.2782,1
train-s11910,"अलबत्ता नॉनवेज के शौकीन बुश, उनकी पत्नी लॉरा बुश और प्रतिष्ठित मेहमानों को भारत के लजीज मटन कबाब, मटन कोरमा और फिश करी से ही काम चलाना पडेगा ।",SOV,31,23,0.1614,0.4679,0.6667,12,यह कुछ एंटी वायरस स्कैनरों समेत कंप्यूटरों के कुछ सुरक्षा उपायों को बंद करने में सक्षम है ।,0.0,0.0,-16.7416,-6.5349,-5.9201,-16.7238,-5.7063,1
train-s11911,राष्ट्रपति भवन ने अपने प्रभावशाली मेहमानों के खाने का मीनू तैयार कर लिया है ।,SOV,15,5,0.0054,0.5163,0.4194,13,"अलबत्ता नॉनवेज के शौकीन बुश, उनकी पत्नी लॉरा बुश और प्रतिष्ठित मेहमानों को भारत के लजीज मटन कबाब, मटन कोरमा और फिश करी से ही काम चलाना पडेगा ।",-2.4,0.0,-16.1841,-11.0444,-11.3306,-16.1841,-7.3968,1
train-s11919,यह बात कश्मीर मुद्दे पर आयोजित सम्मेलन में भाग लेने वाले भारत व पाक अधिकृत कश्मीर (पीओके) के प्रतिनिधिमंडल में शामिल प्रतिनिधियों ने कही ।,DOSV,27,1,0.0627,0.5252,0.7333,11,राष्ट्रपति भवन ने अपने प्रभावशाली मेहमानों के खाने का मीनू तैयार कर लिया है ।,21.0,0.0,18.0,10.8859,11.5109,15.1047,1.6019,1
train-s1192,शैली ने पहली बार अपने नाना को देखा है तथा वह चाहती है कि वह भी पाकिस्तान जाकर उनके पूरे परिवार से मिले ।,SOV,24,5,0.0534,0.4572,0.4545,5,शैला का चेहरा भी उसकी खुशी बयां कर रहा था ।,1.2,0.0,-1.7353,-7.8271,-3.5764,-1.7353,-1.9297,1
train-s11920,सम्मेलन में शामिल होने आए पीओके सुप्रीमकोर्ट के चीफ जस्टिस अब्दुल माजिद मलिक ने पत्रकारों से बातचीत में कहा कि सम्मेलन की रिपोर्ट भारत व पाकिस्तान के नीति निर्धारकों को सौंपी जाएगी ।,SOV,33,5,0.1435,0.538,0.4815,13,यह बात कश्मीर मुद्दे पर आयोजित सम्मेलन में भाग लेने वाले भारत व पाक अधिकृत कश्मीर (पीओके) के प्रतिनिधिमंडल में शामिल प्रतिनिधियों ने कही ।,-14.4,0.0,-12.3772,-6.5974,-8.5994,-8.5783,0.1996,1
train-s11928,मानवाधिकार पर संयुक्त राष्ट्र आयोग की प्रतिनिधि असमां जहांगीर ने फ्रांस की यात्रा के बाद इस संबंध में चिंता जताई है ।,SOV,22,23,0.1338,0.5531,0.4848,16,सम्मेलन में शामिल होने आए पीओके सुप्रीमकोर्ट के चीफ जस्टिस अब्दुल माजिद मलिक ने पत्रकारों से बातचीत में कहा कि सम्मेलन की रिपोर्ट भारत व पाकिस्तान के नीति निर्धारकों को सौंपी जाएगी ।,-15.1304,0.0,-11.4001,-14.2762,-16.5659,-11.4023,-4.0381,1
train-s11939,एमडीएमके महासचिव वाइको और आठ अन्य लोगों के खिलाफ पोटा मामला वापस लेने के तमिलनाडु सरकार के आदेश की प्रति की मांग करते हुए विशेष अदालत ने बुधवार को अपना फैसला ३ सितंबर तक टाल दिया है ।,SOV,38,99,0.0691,0.5242,0.7727,17,मानवाधिकार पर संयुक्त राष्ट्र आयोग की प्रतिनिधि असमां जहांगीर ने फ्रांस की यात्रा के बाद इस संबंध में चिंता जताई है ।,-32.8889,0.0,-12.7016,-10.2224,-8.3864,-12.7016,-2.8828,1
train-s11941,इससे पहले २६ अगस्त को पोटा जज एल. राजेंद्रन ने अभियोजन पक्ष की ओर से दायर याचिका पर फैसला सुनाने की आज की तारीख तय की थी ।,SOV,28,99,0.0116,0.4653,0.6316,24,एमडीएमके महासचिव वाइको और आठ अन्य लोगों के खिलाफ पोटा मामला वापस लेने के तमिलनाडु सरकार के आदेश की प्रति की मांग करते हुए विशेष अदालत ने बुधवार को अपना फैसला ३ सितंबर तक टाल दिया है ।,9.9293,0.9798,-23.1424,-17.8555,-20.3787,-19.5492,-7.4877,1
train-s11947,राज्यपाल ने जिलाधिकारी एस. के. मिश्रा को प्रभावित इलाकों में युद्धस्तर पर राहत कार्य शुरू करने के निर्देश दिए हैं और बुधवार को सीतामढ़ी जिले में नौका हादसे में मारे गए व्यक्ति के नजदीकी रिश्तेदार को ५०००० मुआवजा देने की घोषणा की ।,SOV,43,5,0.0784,0.4807,0.5714,16,इससे पहले २६ अगस्त को पोटा जज एल. राजेंद्रन ने अभियोजन पक्ष की ओर से दायर याचिका पर फैसला सुनाने की आज की तारीख तय की थी ।,10.8,0.0,-12.9818,-14.46,-8.8731,-12.9478,-5.2723,1
train-s11949,पश्चिम चंपारण जिले के सुस्ता में नेपाल और भारत के किसानों के बीच किसानों में संघर्ष के बारे में एक सवाल पर उन्होंने अधिकारियों को सीमा पर स्तंभ लगाने के निर्देश दिए ।,SOV,33,99,0.0656,0.5038,0.5581,24,राज्यपाल ने जिलाधिकारी एस. के. मिश्रा को प्रभावित इलाकों में युद्धस्तर पर राहत कार्य शुरू करने के निर्देश दिए हैं और बुधवार को सीतामढ़ी जिले में नौका हादसे में मारे गए व्यक्ति के नजदीकी रिश्तेदार को ५०००० मुआवजा देने की घोषणा की ।,-21.1111,0.0101,-15.3404,-14.4594,-15.285,-12.3308,-4.3658,1
train-s11951,रक्षा सूत्रों ने बुधवार को यह जानकारी दी ।,SOV,9,5,0.0095,0.4893,0.6061,20,पश्चिम चंपारण जिले के सुस्ता में नेपाल और भारत के किसानों के बीच किसानों में संघर्ष के बारे में एक सवाल पर उन्होंने अधिकारियों को सीमा पर स्तंभ लगाने के निर्देश दिए ।,-1.2,0.0,-11.8176,-11.5927,-10.6718,-11.1057,-2.1685,1
train-s11952,सूत्रों के मुताबिक खुफिया जानकारी के आधार पर ५२वीं राष्ट्रीय राइफल के जवान और स्पेशल ऑपरेशन ग्रुप के पुलिसकर्मियों ने छनखन - सोपोर गांव की एक मस्जिद में छिपे आतंकियों को पकड़ने के लिए पूरे गांव को घेर लिया ।,SOV,40,99,0.0545,0.5129,0.5556,5,रक्षा सूत्रों ने बुधवार को यह जानकारी दी ।,9.6465,0.0,-20.344,-10.6675,-3.785,-15.5123,-2.5065,1
train-s11956,अभी तक तो विज्ञानियों को इस सवाल का नकारात्मक ही जवाब मिला है लेकिन दो ग्रहों की ताजा खोज ने विज्ञानियों की उम्मीदें बढ़ा दी हैं ।,IOSV,27,5,-0.0252,0.5175,0.5,20,सूत्रों के मुताबिक खुफिया जानकारी के आधार पर ५२वीं राष्ट्रीय राइफल के जवान और स्पेशल ऑपरेशन ग्रुप के पुलिसकर्मियों ने छनखन - सोपोर गांव की एक मस्जिद में छिपे आतंकियों को पकड़ने के लिए पूरे गांव को घेर लिया ।,3.6,1.2,-0.0739,-4.277,-4.7549,-0.0246,-4.3334,1
train-s11978,श्रीनगर से लेह तक के दुरूह रास्ते में ऑप्टिकल फाइबर बिछाने का काम बीएसएनएल ने सेना और सीमा सड़क संगठन के साथ मिल कर पूरा किया है ।,DOSV,28,99,0.0772,0.4624,0.7037,19,अभी तक तो विज्ञानियों को इस सवाल का नकारात्मक ही जवाब मिला है लेकिन दो ग्रहों की ताजा खोज ने विज्ञानियों की उम्मीदें बढ़ा दी हैं ।,-24.3939,0.0,-11.4917,-7.1495,-7.4584,-11.4998,-2.8645,1
train-s11980,पुलिस ने बृहस्पतिवार को चार वरिष्ठ अलगाववादी नेताओं को अनंतनाग जिले के खानाबल इलाके में हिरासत में ले लिया ।,SOV,20,99,0.0582,0.4836,0.75,21,श्रीनगर से लेह तक के दुरूह रास्ते में ऑप्टिकल फाइबर बिछाने का काम बीएसएनएल ने सेना और सीमा सड़क संगठन के साथ मिल कर पूरा किया है ।,3.8081,0.0,-6.9414,-6.4031,-6.127,-6.9417,-1.9247,1
train-s11982,माकपा ने शनिवार को कहा कि राजग गंभीर राजनीतिक संकट में है ।,SOV,13,1,0.0074,0.4971,0.6,12,पुलिस ने बृहस्पतिवार को चार वरिष्ठ अलगाववादी नेताओं को अनंतनाग जिले के खानाबल इलाके में हिरासत में ले लिया ।,0.0,0.0,-4.628,-2.2171,-0.1275,-4.5822,-1.656,1
train-s11987,२९ सितंबर को कई बड़े कर्मचारी संगठनों की ओर से प्रस्तावित राष्ट्रव्यापी हड़ताल को पूरा समर्थन जताते हुए येचुरी ने कहा कि भोजन और रोजगार के मुद्दे पर जल्द ही सभी राज्यों में एक बड़ा अभियान छेड़ा जाएगा ।,SOV,39,5,-0.1763,0.5851,0.6154,8,माकपा ने शनिवार को कहा कि राजग गंभीर राजनीतिक संकट में है ।,-1.2,0.0,-4.5507,3.0571,2.1827,-3.4964,-0.4918,1
train-s1199,उन्होंने यह भी मांग की कि पिछले दिनों न्यूयार्क में प्रधानमंत्री मनमोहन सिंह और पाकिस्तान के राष्ट्रपति परवेज मुशर्रफ के बीच हुई बातचीत का भी खुलासा किया जाना चाहिए ।,SOV,30,1,0.0252,0.5118,0.5833,14,शैली ने पहली बार अपने नाना को देखा है तथा वह चाहती है कि वह भी पाकिस्तान जाकर उनके पूरे परिवार से मिले ।,2.0,2.0,-22.6873,-10.7113,-11.6838,-20.2313,-4.5486,1
train-s11992,कांग्रेस अध्यक्ष सोनिया गांधी और पेट्रोलियम मंत्री मणिशंकर अय्यर से शुक्रवार सुबह श्रीलंका की राष्ट्रपति चंद्रिका कुमारतुंग ने मुलाकात की ।,DOSV,21,23,0.0758,0.4934,0.5897,23,२९ सितंबर को कई बड़े कर्मचारी संगठनों की ओर से प्रस्तावित राष्ट्रव्यापी हड़ताल को पूरा समर्थन जताते हुए येचुरी ने कहा कि भोजन और रोजगार के मुद्दे पर जल्द ही सभी राज्यों में एक बड़ा अभियान छेड़ा जाएगा ।,-12.0,0.0,-6.2869,-11.0325,-10.3085,-3.7526,-4.9873,1
train-s11996,श्रीलंका की राष्ट्रपति तीन दिन की सरकारी यात्रा पर बृहस्पतिवार को यहां पहुंची ।,SOV,14,23,0.1197,0.5124,0.619,13,कांग्रेस अध्यक्ष सोनिया गांधी और पेट्रोलियम मंत्री मणिशंकर अय्यर से शुक्रवार सुबह श्रीलंका की राष्ट्रपति चंद्रिका कुमारतुंग ने मुलाकात की ।,-5.2174,0.0,-10.8038,-5.3363,-4.6697,-7.9361,-0.1302,1
train-s11997,बृहस्पतिवार रात वे प्रधानमंत्री मनमोहन सिंह से मिलीं ।,SOV,9,5,0.2027,0.5157,0.6429,9,श्रीलंका की राष्ट्रपति तीन दिन की सरकारी यात्रा पर बृहस्पतिवार को यहां पहुंची ।,2.4,-1.2,1.6077,-3.6523,-3.9953,3.9535,-0.6367,1
train-s11998,उन्होंने प्रधानमंत्री को लिट्टे के साथ जारी शांति प्रक्रिया के बारे में बताया ।,SOV,14,5,0.1932,0.5833,0.3333,3,बृहस्पतिवार रात वे प्रधानमंत्री मनमोहन सिंह से मिलीं ।,9.6,1.2,-0.2173,1.6545,-0.3747,-1.928,-0.6344,1
train-s12,विशाल क्षेत्र में फैले इस भवन के आस - पास का प्राकृतिक सौंदर्य इसे और भी भव्य बनाता है ।,SOV,20,5,-0.1975,0.4969,0.5,4,इसे चार्ल्स कोरिया ने डिजाइन किया है ।,-12.0,-1.2,-2.0135,-0.4602,0.1702,-3.8315,-1.8231,1
train-s12001,माकपा महासचिव प्रकाश करात भी बुधवार को श्रीलंकाई राष्ट्रपति से मिले ।,SOV,12,5,0.1709,0.4475,0.5714,8,उन्होंने प्रधानमंत्री को लिट्टे के साथ जारी शांति प्रक्रिया के बारे में बताया ।,-2.4,0.0,-8.8901,-1.5265,-3.1496,-9.227,0.7516,1
train-s12013,बिहार विधानसभा चुनाव के ऐलान के साथ ही कांग्रेस ने संयुक्त प्रगतिशील गठबंधन को एकजुट रखने की आखिरी कोशिश शुरू कर दी है ।,SOV,24,23,0.1225,0.5914,0.4167,5,माकपा महासचिव प्रकाश करात भी बुधवार को श्रीलंकाई राष्ट्रपति से मिले ।,-7.3043,0.0,-22.9834,-14.7205,-16.3528,-22.9834,-5.2885,1
train-s12014,कांग्रेस ने लोक जनशक्ति पार्टी को साफ कर दिया है कि उसे अगले सप्ताह के अंत तक चुनावी गठबंधन के बारे में अंतिम फैसला करना होगा ।,SOV,27,5,0.0793,0.4971,0.7083,17,बिहार विधानसभा चुनाव के ऐलान के साथ ही कांग्रेस ने संयुक्त प्रगतिशील गठबंधन को एकजुट रखने की आखिरी कोशिश शुरू कर दी है ।,-1.2,0.0,-14.4402,-13.2453,-12.8424,-9.1475,-4.3109,1
train-s12015,लोजपा को लेकर माकपा ने भी कांग्रेस पर दबाव तेज कर दिया है ।,SOV,14,99,0.0577,0.4694,0.6296,17,कांग्रेस ने लोक जनशक्ति पार्टी को साफ कर दिया है कि उसे अगले सप्ताह के अंत तक चुनावी गठबंधन के बारे में अंतिम फैसला करना होगा ।,-6.0101,0.0,-15.3127,-16.1242,-14.1436,-11.9746,-4.3804,1
train-s12023,कांग्रेस अध्यक्ष सोनिया गांधी अगस्त के अंत तक ही गठबंधन के बारे में फैसला चाहती थी पर केंद्रीय मंत्री पासवान के कहने पर इस समय सीमा को दस दिन के लिए बढ़ाया गया है ।,SOV,35,23,-0.1498,0.5652,0.6429,9,लोजपा को लेकर माकपा ने भी कांग्रेस पर दबाव तेज कर दिया है ।,-5.2174,0.0,-9.7929,-2.1833,-0.1238,-8.2562,-4.7666,1
train-s12031,पाकिस्तानी विपक्षी दलों की मांग पर मुशर्रफ ने उनके आरोपों को खारिज करते हुए यह बातें कही ।,SOV,18,23,0.0659,0.4675,0.7143,25,कांग्रेस अध्यक्ष सोनिया गांधी अगस्त के अंत तक ही गठबंधन के बारे में फैसला चाहती थी पर केंद्रीय मंत्री पासवान के कहने पर इस समय सीमा को दस दिन के लिए बढ़ाया गया है ।,-4.1739,0.0,-1.9655,-5.42,-3.3572,-2.0002,-0.4787,1
train-s12032,शनिवार को क्वेटा कमान व स्टाफ कॉलेज के शताब्दी समारोह के उद्धधाटन अवसर पर राष्ट्रपति मुशर्रफ ने कहा कि सरकार जनता के चुने हुए प्रतिनिधि चला रहे हैं ।,SOV,29,5,-0.168,0.5298,0.3889,7,पाकिस्तानी विपक्षी दलों की मांग पर मुशर्रफ ने उनके आरोपों को खारिज करते हुए यह बातें कही ।,1.2,0.0,3.7366,0.4586,3.5588,3.5238,-3.195,1
train-s12039,संसदीय समिति द्वारा हलके लड़ाकू विमान (एलसीए) जैसी महत्वपूर्ण परियोजनाओं की खामियों का पता लगाने के लिए डीआरडीओ के प्रदर्शन के परीक्षण पर जोर दिए जाने के मद्देनजर रक्षा मंत्री प्रणव मुखर्जी ने मंगलवार को कहा कि जरूरतों के आधार पर एलसीए तेजस को बेड़े में शामिल करने के सभी प्रयास किए जा रहे हैं ।,SOV,58,5,0.0781,0.5148,0.5517,16,शनिवार को क्वेटा कमान व स्टाफ कॉलेज के शताब्दी समारोह के उद्धधाटन अवसर पर राष्ट्रपति मुशर्रफ ने कहा कि सरकार जनता के चुने हुए प्रतिनिधि चला रहे हैं ।,-33.6,0.0,-2.3811,-6.7094,-2.8936,-2.003,-1.9092,1
train-s12041,अपने मंत्रालय से जुड़ी संसदीय सलाहकार समिति को संबोधित करते हुए मुखर्जी ने आश्वासन दिया कि देसी लड़ाकू विमान को विकसित करने की प्रक्रिया जारी है और इस पर सही तरीके से काम चल रहा है ।,SOV,37,5,0.0612,0.5352,0.6034,35,संसदीय समिति द्वारा हलके लड़ाकू विमान (एलसीए) जैसी महत्वपूर्ण परियोजनाओं की खामियों का पता लगाने के लिए डीआरडीओ के प्रदर्शन के परीक्षण पर जोर दिए जाने के मद्देनजर रक्षा मंत्री प्रणव मुखर्जी ने मंगलवार को कहा कि जरूरतों के आधार पर एलसीए तेजस को बेड़े में शामिल करने के सभी प्रयास किए जा रहे हैं ।,-12.0,0.0,-15.2837,-8.7908,-11.3223,-13.9166,-2.6617,1
train-s12043,"भारतीय वायुसेना ने सरकार से कहा है कि उसके लिए १२६ बहुउपयोगी लड़ाकू विमानों को बेड़े में शामिल करना बहुत ही जरूरी है, क्योंकि वर्ष २००६ - ०७ तक मिग - २१ को चरणबद्ध तरीके से बेड़े से बाहर करना है ।",SOV,43,1,0.0366,0.5163,0.7297,27,अपने मंत्रालय से जुड़ी संसदीय सलाहकार समिति को संबोधित करते हुए मुखर्जी ने आश्वासन दिया कि देसी लड़ाकू विमान को विकसित करने की प्रक्रिया जारी है और इस पर सही तरीके से काम चल रहा है ।,-1.0,0.0,-5.9279,-1.8909,-2.0284,-5.8326,-1.4179,1
